Time (s),Distance (mm),Angle (deg),Left Speed (mm/s),Right Speed (mm/s)
11.77348518371582,151.0483856201172,4.094098091125488,20.623027801513672,17.145130157470703
11.964706659317017,151.0483856201172,4.094098091125488,25.938695907592773,22.900014877319336
12.13649606704712,141.5096893310547,3.4758338928222656,14.704704284667969,15.397943496704102
12.354132413864136,139.52926635742188,3.211402416229248,19.139047622680664,18.664426803588867
12.57140851020813,136.90374755859375,2.322831630706787,15.905850410461426,19.200387954711914
12.742009162902832,132.830322265625,2.1472220420837402,13.99996280670166,15.488903999328613
12.91266417503357,132.830322265625,2.1472220420837402,16.755264282226562,17.508995056152344
13.145323514938354,129.2406463623047,2.146599769592285,13.784933090209961,14.521804809570312
13.34833836555481,125.9872817993164,2.3199820518493652,12.90660285949707,12.678171157836914
13.519600629806519,125.06275177001953,2.2100415229797363,12.973519325256348,13.997015953063965
13.705491304397583,125.06275177001953,2.2100415229797363,13.746249198913574,14.30395221710205
13.878062009811401,123.95722198486328,2.030771255493164,12.1275634765625,13.756965637207031
14.083662986755371,119.7914047241211,2.2430219650268555,10.022077560424805,9.75871467590332
14.274449586868286,116.23462677001953,2.3972296714782715,8.846192359924316,8.412968635559082
14.463587045669556,113.5931167602539,2.6229257583618164,8.62762451171875,7.453652858734131
14.638307571411133,113.5931167602539,2.6229257583618164,9.61574649810791,9.258748054504395
14.811357975006104,110.87175750732422,2.577993392944336,6.827734470367432,6.724508762359619
14.985292434692383,110.43498992919922,2.5785813331604004,8.076115608215332,7.769654750823975
15.159023761749268,110.43498992919922,2.5785813331604004,8.335002899169922,8.012989044189453
15.333301782608032,110.0302505493164,2.494814872741699,7.697571754455566,7.862153053283691
15.523877382278442,109.62859344482422,2.536095142364502,7.8533735275268555,7.427981376647949
15.73038935661316,108.6413803100586,2.001953601837158,5.684247970581055,8.272772789001465
15.904719591140747,107.8116683959961,1.842480182647705,5.786513328552246,7.510936737060547
16.06569480895996,107.8116683959961,1.842480182647705,6.588560104370117,7.660775184631348
16.237733364105225,107.1072006225586,1.822331428527832,5.84242057800293,7.024374961853027
16.39560103416443,106.91361236572266,1.8468661308288574,6.177593231201172,7.108043670654297
16.569940328598022,106.91361236572266,1.8468661308288574,6.252264976501465,7.27862548828125
16.791686296463013,106.6596450805664,1.8555264472961426,6.066705703735352,7.031949043273926
16.966381311416626,104.74320220947266,1.946725845336914,4.584686279296875,5.01583194732666
17.155967712402344,103.27339935302734,2.1715164184570312,4.783817768096924,4.284366130828857
17.329571962356567,103.27339935302734,2.1715164184570312,5.151634216308594,5.467085838317871
17.519996643066406,101.87852478027344,2.1181468963623047,3.7177813053131104,4.320024490356445
17.694074392318726,101.87852478027344,2.1181468963623047,4.555756092071533,4.94706392288208
17.86795949935913,101.81891632080078,2.088925838470459,4.416859149932861,4.9697136878967285
18.057722330093384,101.97917175292969,2.044456958770752,4.539780616760254,5.212457656860352
18.21378803253174,101.44863891601562,2.2436485290527344,4.638104438781738,3.8409230709075928
18.397448301315308,101.44863891601562,2.2436485290527344,4.539572238922119,4.619339466094971
18.583433628082275,100.57260131835938,3.3025074005126953,6.78190803527832,0.7341225147247314
18.769692420959473,100.1744155883789,3.272724151611328,4.813687324523926,2.8982839584350586
18.93975067138672,100.1744155883789,3.272724151611328,5.094565391540527,3.0449676513671875
